Unnamed: 0,model_name,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,mig
0,resnet50_moco,8,100.88,0.02,79.3,1657288019,1657288140,0.912,0.13,2564.0,0.0,5
1,resnet50_moco,16,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5
2,resnet50_moco,32,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5
3,resnet50_moco,64,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5
4,resnet50_moco,128,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5
0,resnet50_moco,8,51.52,0.75,155.27,1657286956,1657287077,0.861,0.128,2624.0,0.0,10
1,resnet50_moco,16,87.18,0.02,183.53,1657287140,1657287261,0.87,0.127,3497.639,157.967,10
2,resnet50_moco,32,159.41,0.03,200.74,1657287368,1657287489,0.871,0.127,4989.328,293.393,10
3,resnet50_moco,64,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,10
4,resnet50_moco,128,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,10
0,resnet50_moco,8,33.75,1.18,237.06,1657283701,1657283822,0.704,0.159,2679.852,78.623,20
1,resnet50_moco,16,50.55,0.02,316.53,1657284075,1657284196,0.765,0.172,3560.639,157.967,20
2,resnet50_moco,32,90.47,0.02,353.72,1657284470,1657284591,0.764,0.172,5052.328,293.393,20
3,resnet50_moco,64,169.06,0.02,378.56,1657284688,1657284809,0.768,0.172,8250.328,579.393,20
4,resnet50_moco,128,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,20
0,resnet50_moco,8,31.29,1.68,255.65,1657285572,1657285693,0.445,0.109,2914.852,78.623,40
1,resnet50_moco,16,34.14,0.46,468.72,1657285768,1657285889,0.589,0.132,3795.639,157.967,40
2,resnet50_moco,32,48.38,0.2,661.5,1657285973,1657286094,0.683,0.153,5314.0,0.0,40
3,resnet50_moco,64,88.63,0.02,722.12,1657286194,1657286315,0.675,0.152,8538.0,0.0,40
4,resnet50_moco,128,168.7,0.03,758.75,1657286485,1657286606,0.72,0.107,14928.0,0.0,40
