Unnamed: 0,model_name,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,mig
0,vision_transformer,8,157.7,0.04,50.73,1657289532,1657289653,0.931,0.134,3934.0,0.0,5
1,vision_transformer,16,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5
2,vision_transformer,32,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5
3,vision_transformer,64,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5
4,vision_transformer,128,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5
0,vision_transformer,8,77.1,0.02,103.76,1657289877,1657289998,0.904,0.129,4018.0,0.0,10
1,vision_transformer,16,139.75,0.03,114.49,1657290097,1657290218,0.906,0.129,5260.0,0.0,10
2,vision_transformer,32,252.14,0.04,126.92,1657290313,1657290434,0.904,0.131,7730.0,0.0,10
3,vision_transformer,64,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,10
4,vision_transformer,128,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,10
0,vision_transformer,8,46.63,0.4,171.57,1657290717,1657290838,0.863,0.124,4093.0,0.0,20
1,vision_transformer,16,82.92,0.02,192.96,1657290931,1657291052,0.871,0.125,5367.0,0.0,20
2,vision_transformer,32,156.51,0.04,204.45,1657291259,1657291380,0.873,0.128,7748.475,511.77,20
3,vision_transformer,64,296.65,0.09,215.74,1657291525,1657291646,0.876,0.126,12707.0,0.0,20
4,vision_transformer,128,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,20
0,vision_transformer,8,31.55,0.18,253.6,1657291817,1657291938,0.676,0.097,4328.0,0.0,40
1,vision_transformer,16,43.92,0.02,364.34,1657291987,1657292108,0.802,0.118,5606.443,281.131,40
2,vision_transformer,32,78.88,0.02,405.66,1657292154,1657292275,0.802,0.115,8132.0,0.0,40
3,vision_transformer,64,146.78,0.02,436.04,1657292367,1657292488,0.802,0.116,12968.0,0.0,40
4,vision_transformer,128,272.39,0.03,469.91,1657292601,1657292722,0.803,0.118,22706.0,0.0,40
