Unnamed: 0,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,instance_memory
0,bert-base-multilingual-cased,177853440,64,1,11.17,0.08,89.53,1656800896,1656801016,0.332,0.1,2240.744,13.58,5
1,bert-base-multilingual-cased,177853440,64,2,11.23,0.05,178.07,1656801026,1656801146,0.355,0.064,2243.967,0.362,5
2,bert-base-multilingual-cased,177853440,64,4,11.77,0.06,339.75,1656801156,1656801276,0.44,0.066,2249.917,0.905,5
3,bert-base-multilingual-cased,177853440,64,8,14.36,0.01,556.92,1656801286,1656801406,0.538,0.062,2240.0,0.0,5
4,bert-base-multilingual-cased,177853440,64,16,26.8,0.02,596.93,1656801416,1656801536,0.606,0.066,2283.636,3.983,5
5,bert-base-multilingual-cased,177853440,64,32,52.95,0.02,604.29,1656801546,1656801666,0.666,0.059,2350.876,10.352,5
6,bert-base-multilingual-cased,177853440,64,64,101.67,0.02,629.51,1656801677,1656801797,0.689,0.056,2418.512,16.296,5
7,bert-base-multilingual-cased,177853440,64,128,200.95,0.03,636.98,1656801810,1656801930,0.73,0.047,2622.793,34.945,5
8,bert-base-multilingual-cased,177853440,64,256,398.89,0.05,641.79,1656801946,1656802066,0.745,0.042,3010.0,0.0,5
0,bert-base-multilingual-cased,177853440,64,1,11.1,0.06,90.12,1656799686,1656799806,0.216,0.066,2301.355,6.881,10
1,bert-base-multilingual-cased,177853440,64,2,11.04,0.11,181.17,1656799816,1656799936,0.225,0.042,2303.967,0.362,10
2,bert-base-multilingual-cased,177853440,64,4,11.21,0.03,356.73,1656799946,1656800066,0.271,0.04,2309.917,0.905,10
3,bert-base-multilingual-cased,177853440,64,8,10.92,0.03,732.42,1656800076,1656800196,0.34,0.039,2300.0,0.0,10
4,bert-base-multilingual-cased,177853440,64,16,12.46,0.03,1283.69,1656800206,1656800326,0.435,0.049,2343.636,3.983,10
5,bert-base-multilingual-cased,177853440,64,32,24.45,0.01,1309.02,1656800336,1656800456,0.517,0.049,2411.074,10.14,10
6,bert-base-multilingual-cased,177853440,64,64,49.79,0.01,1285.51,1656800466,1656800586,0.567,0.049,2478.512,16.296,10
7,bert-base-multilingual-cased,177853440,64,128,95.96,0.03,1333.85,1656800597,1656800717,0.617,0.043,2682.793,34.945,10
8,bert-base-multilingual-cased,177853440,64,256,189.68,0.08,1349.61,1656800730,1656800850,0.644,0.038,3070.0,0.0,10
0,bert-base-multilingual-cased,177853440,64,1,11.12,0.04,89.91,1656798474,1656798594,0.096,0.028,2364.983,0.181,20
1,bert-base-multilingual-cased,177853440,64,2,11.09,0.07,180.42,1656798604,1656798724,0.129,0.022,2366.967,0.362,20
2,bert-base-multilingual-cased,177853440,64,4,11.95,0.11,334.77,1656798734,1656798854,0.18,0.027,2372.917,0.905,20
3,bert-base-multilingual-cased,177853440,64,8,10.84,0.03,737.69,1656798864,1656798984,0.234,0.026,2363.0,0.0,20
4,bert-base-multilingual-cased,177853440,64,16,10.89,0.03,1469.24,1656798994,1656799114,0.314,0.037,2406.636,3.983,20
5,bert-base-multilingual-cased,177853440,64,32,15.46,0.03,2069.32,1656799124,1656799244,0.398,0.039,2474.074,10.14,20
6,bert-base-multilingual-cased,177853440,64,64,29.05,0.01,2203.38,1656799254,1656799374,0.459,0.041,2541.512,16.296,20
7,bert-base-multilingual-cased,177853440,64,128,58.67,0.01,2181.53,1656799385,1656799505,0.517,0.038,2748.983,0.181,20
8,bert-base-multilingual-cased,177853440,64,256,114.01,0.01,2245.43,1656799516,1656799636,0.551,0.038,3133.0,0.0,20
0,bert-base-multilingual-cased,177853440,64,1,11.1,0.07,90.11,1656797167,1656797287,0.146,0.043,2599.983,0.181,40
1,bert-base-multilingual-cased,177853440,64,2,11.56,0.06,172.99,1656797297,1656797417,0.154,0.028,2602.0,0.0,40
2,bert-base-multilingual-cased,177853440,64,4,11.58,0.04,345.35,1656797427,1656797547,0.176,0.027,2607.917,0.905,40
3,bert-base-multilingual-cased,177853440,64,8,10.79,0.04,741.45,1656797557,1656797677,0.195,0.022,2598.0,0.0,40
4,bert-base-multilingual-cased,177853440,64,16,10.95,0.04,1460.56,1656797687,1656797807,0.232,0.026,2641.636,3.983,40
5,bert-base-multilingual-cased,177853440,64,32,10.76,0.09,2975.24,1656797817,1656797937,0.291,0.029,2709.074,10.14,40
6,bert-base-multilingual-cased,177853440,64,64,13.24,0.01,4832.85,1656797947,1656798067,0.365,0.036,2776.512,16.296,40
7,bert-base-multilingual-cased,177853440,64,128,26.75,0.01,4784.74,1656798077,1656798197,0.436,0.035,2980.81,34.946,40
8,bert-base-multilingual-cased,177853440,64,256,52.95,0.07,4834.51,1656798207,1656798327,0.483,0.034,3361.636,69.71,40
