Unnamed: 0,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,instance_memory
0,bert-base-multilingual-cased,177853440,32,32,26.23,0.08,1219.93,1656775860,1656775980,0.457,0.139,2282.893,12.131,5
1,bert-base-multilingual-cased,177853440,64,32,52.95,0.02,604.34,1656775990,1656776110,0.577,0.109,2350.876,10.352,5
2,bert-base-multilingual-cased,177853440,128,32,109.6,0.03,291.96,1656776121,1656776241,0.696,0.108,2444.0,0.0,5
3,bert-base-multilingual-cased,177853440,256,32,243.79,0.04,131.26,1656776255,1656776375,0.722,0.081,2623.802,2.173,5
4,bert-base-multilingual-cased,177853440,512,32,598.26,0.06,53.49,1656776395,1656776515,0.782,0.086,3391.603,4.346,5
0,bert-base-multilingual-cased,177853440,32,32,12.49,0.07,2562.82,1656775061,1656775181,0.44,0.131,2343.636,3.983,10
1,bert-base-multilingual-cased,177853440,64,32,24.44,0.02,1309.4,1656775191,1656775311,0.564,0.104,2410.876,10.352,10
2,bert-base-multilingual-cased,177853440,128,32,53.79,0.02,594.92,1656775321,1656775441,0.681,0.106,2502.314,18.469,10
3,bert-base-multilingual-cased,177853440,256,32,117.78,0.02,271.69,1656775453,1656775573,0.709,0.078,2680.826,34.765,10
4,bert-base-multilingual-cased,177853440,512,32,290.22,0.05,110.26,1656775587,1656775707,0.764,0.081,3442.083,104.348,10
0,bert-base-multilingual-cased,177853440,32,32,10.95,0.08,2922.95,1656774268,1656774388,0.367,0.109,2406.636,3.983,20
1,bert-base-multilingual-cased,177853440,64,32,15.49,0.03,2065.97,1656774398,1656774518,0.512,0.092,2474.074,10.14,20
2,bert-base-multilingual-cased,177853440,128,32,31.47,0.01,1016.72,1656774528,1656774648,0.635,0.095,2565.314,18.469,20
3,bert-base-multilingual-cased,177853440,256,32,69.84,0.03,458.17,1656774659,1656774779,0.678,0.071,2743.826,34.765,20
4,bert-base-multilingual-cased,177853440,512,32,165.05,0.07,193.88,1656774791,1656774911,0.727,0.075,3514.6,4.363,20
0,bert-base-multilingual-cased,177853440,32,32,11.03,0.11,2901.48,1656773474,1656773594,0.351,0.11,2641.636,3.983,40
1,bert-base-multilingual-cased,177853440,64,32,10.77,0.08,2970.79,1656773604,1656773724,0.418,0.066,2709.074,10.14,40
2,bert-base-multilingual-cased,177853440,128,32,14.6,0.07,2192.53,1656773734,1656773854,0.577,0.084,2802.0,0.0,40
3,bert-base-multilingual-cased,177853440,256,32,32.46,0.01,985.91,1656773864,1656773984,0.645,0.069,2978.826,34.765,40
4,bert-base-multilingual-cased,177853440,512,32,78.32,0.01,408.59,1656773995,1656774115,0.702,0.076,3749.603,4.346,40
