Unnamed: 0,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,instance_memory
0,distiluse-base-multilingual-cased-v1,134734080,32,32,13.3,0.04,2405.43,1656763617,1656763737,0.786,0.258,2093.967,17.892,5
1,distiluse-base-multilingual-cased-v1,134734080,64,32,26.52,0.01,1206.51,1656763747,1656763867,0.786,0.146,2147.107,9.778,5
2,distiluse-base-multilingual-cased-v1,134734080,128,32,53.97,0.02,592.96,1656763877,1656763997,0.854,0.135,2254.215,19.555,5
3,distiluse-base-multilingual-cased-v1,134734080,256,32,116.75,0.03,274.09,1656764008,1656764128,0.858,0.09,2420.628,34.814,5
4,distiluse-base-multilingual-cased-v1,134734080,512,32,274.96,0.04,116.38,1656764141,1656764261,0.875,0.095,3182.083,104.348,5
0,distiluse-base-multilingual-cased-v1,134734080,32,32,6.41,0.03,4990.01,1656762927,1656763047,0.431,0.135,2155.124,6.768,10
1,distiluse-base-multilingual-cased-v1,134734080,64,32,12.24,0.01,2613.74,1656763057,1656763177,0.56,0.099,2207.107,9.778,10
2,distiluse-base-multilingual-cased-v1,134734080,128,32,26.47,0.01,1208.69,1656763187,1656763307,0.676,0.102,2314.215,19.555,10
3,distiluse-base-multilingual-cased-v1,134734080,256,32,56.31,0.02,568.29,1656763317,1656763437,0.711,0.069,2480.628,34.814,10
4,distiluse-base-multilingual-cased-v1,134734080,512,32,132.92,0.03,240.74,1656763448,1656763568,0.75,0.078,3251.6,4.363,10
0,distiluse-base-multilingual-cased-v1,134734080,32,32,5.6,0.03,5714.97,1656762141,1656762261,0.36,0.112,2217.314,14.286,20
1,distiluse-base-multilingual-cased-v1,134734080,64,32,7.83,0.03,4086.57,1656762271,1656762391,0.509,0.083,2270.107,9.778,20
2,distiluse-base-multilingual-cased-v1,134734080,128,32,15.54,0.01,2058.68,1656762401,1656762521,0.63,0.09,2377.215,19.555,20
3,distiluse-base-multilingual-cased-v1,134734080,256,32,33.62,0.01,951.72,1656762531,1656762651,0.677,0.065,2543.628,34.814,20
4,distiluse-base-multilingual-cased-v1,134734080,512,32,76.51,0.01,418.27,1656762662,1656762782,0.72,0.071,3315.0,0.0,20
0,distiluse-base-multilingual-cased-v1,134734080,32,32,5.62,0.05,5693.4,1656761356,1656761476,0.199,0.063,2452.512,12.279,40
1,distiluse-base-multilingual-cased-v1,134734080,64,32,5.62,0.03,5698.56,1656761486,1656761606,0.303,0.051,2505.107,9.778,40
2,distiluse-base-multilingual-cased-v1,134734080,128,32,7.19,0.04,4453.54,1656761616,1656761736,0.457,0.07,2612.215,19.555,40
3,distiluse-base-multilingual-cased-v1,134734080,256,32,15.59,0.01,2052.2,1656761746,1656761866,0.538,0.058,2778.826,34.765,40
4,distiluse-base-multilingual-cased-v1,134734080,512,32,36.15,0.01,885.12,1656761876,1656761996,0.606,0.064,3550.0,0.0,40
