Unnamed: 0,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,instance_memory
0,paraphrase-multilingual-mpnet-base-v2,278043648,32,32,26.46,0.09,1209.29,1656772766,1656772886,0.441,0.136,2665.636,3.983,5
1,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,53.25,0.02,600.94,1656772896,1656773016,0.568,0.111,2733.8,2.182,5
2,paraphrase-multilingual-mpnet-base-v2,278043648,128,32,109.95,0.03,291.04,1656773027,1656773147,0.685,0.114,2826.0,0.0,5
3,paraphrase-multilingual-mpnet-base-v2,278043648,256,32,244.52,0.04,130.87,1656773161,1656773281,0.712,0.088,3005.802,2.173,5
4,paraphrase-multilingual-mpnet-base-v2,278043648,512,32,599.42,0.07,53.39,1656773301,1656773421,0.777,0.092,3773.603,4.346,5
0,paraphrase-multilingual-mpnet-base-v2,278043648,32,32,12.59,0.08,2541.19,1656771961,1656772081,0.434,0.135,2725.636,3.983,10
1,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,24.61,0.02,1300.23,1656772091,1656772211,0.559,0.109,2793.074,10.14,10
2,paraphrase-multilingual-mpnet-base-v2,278043648,128,32,54.06,0.02,591.93,1656772221,1656772341,0.676,0.111,2884.314,18.469,10
3,paraphrase-multilingual-mpnet-base-v2,278043648,256,32,118.2,0.03,270.74,1656772353,1656772473,0.704,0.082,3062.826,34.765,10
4,paraphrase-multilingual-mpnet-base-v2,278043648,512,32,290.93,0.05,109.99,1656772488,1656772608,0.761,0.083,3834.0,0.0,10
0,paraphrase-multilingual-mpnet-base-v2,278043648,32,32,11.36,0.08,2816.51,1656771165,1656771285,0.354,0.11,2788.636,3.983,20
1,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,15.62,0.02,2049.27,1656771295,1656771415,0.504,0.089,2856.074,10.14,20
2,paraphrase-multilingual-mpnet-base-v2,278043648,128,32,31.63,0.01,1011.6,1656771425,1656771545,0.629,0.093,2947.314,18.469,20
3,paraphrase-multilingual-mpnet-base-v2,278043648,256,32,70.11,0.02,456.44,1656771556,1656771676,0.673,0.07,3125.826,34.765,20
4,paraphrase-multilingual-mpnet-base-v2,278043648,512,32,165.55,0.08,193.3,1656771688,1656771808,0.723,0.074,3896.6,4.363,20
0,paraphrase-multilingual-mpnet-base-v2,278043648,32,32,11.18,0.12,2861.19,1656770375,1656770495,0.35,0.109,3023.537,4.12,40
1,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,10.94,0.07,2925.84,1656770505,1656770625,0.418,0.068,3091.074,10.14,40
2,paraphrase-multilingual-mpnet-base-v2,278043648,128,32,14.68,0.03,2179.63,1656770635,1656770755,0.575,0.084,3182.314,18.469,40
3,paraphrase-multilingual-mpnet-base-v2,278043648,256,32,32.63,0.01,980.64,1656770765,1656770885,0.646,0.068,3360.628,34.814,40
4,paraphrase-multilingual-mpnet-base-v2,278043648,512,32,78.61,0.02,407.07,1656770896,1656771016,0.702,0.074,4132.0,0.0,40
