Unnamed: 0,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,instance_memory
0,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,1,11.37,0.05,87.97,1656790904,1656791024,0.099,0.029,1968.0,0.0,5
1,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,2,11.22,0.09,178.29,1656791034,1656791154,0.13,0.022,1969.983,0.181,5
2,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,4,11.26,0.13,355.19,1656791164,1656791284,0.176,0.026,1971.967,0.362,5
3,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,8,10.9,0.05,734.04,1656791294,1656791414,0.225,0.024,1995.769,2.535,5
4,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,16,11.16,0.08,1433.19,1656791424,1656791544,0.329,0.04,1987.835,1.811,5
5,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,22.55,0.01,1418.8,1656791554,1656791674,0.412,0.039,2019.57,4.708,5
6,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,64,44.69,0.02,1432.06,1656791684,1656791804,0.475,0.043,2087.008,10.864,5
7,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,128,86.82,0.02,1474.39,1656791815,1656791935,0.529,0.038,2182.215,19.555,5
8,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,256,177.75,0.03,1440.24,1656791948,1656792068,0.565,0.038,2402.0,0.0,5
0,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,1,11.16,0.08,89.62,1656789598,1656789718,0.134,0.042,2027.14,9.415,10
1,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,2,11.45,0.05,174.66,1656789728,1656789848,0.145,0.027,2029.983,0.181,10
2,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,4,10.89,0.04,367.46,1656789858,1656789978,0.167,0.025,2031.967,0.362,10
3,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,8,10.69,0.04,748.09,1656789988,1656790108,0.193,0.021,2055.769,2.535,10
4,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,16,10.7,0.03,1494.98,1656790118,1656790238,0.241,0.026,2047.835,1.811,10
5,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,11.07,0.02,2891.08,1656790248,1656790368,0.343,0.039,2079.57,4.708,10
6,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,64,22.1,0.01,2895.9,1656790378,1656790498,0.414,0.041,2147.008,10.864,10
7,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,128,44.36,0.02,2885.19,1656790508,1656790628,0.483,0.043,2242.215,19.555,10
8,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,256,86.29,0.02,2966.77,1656790639,1656790759,0.522,0.037,2461.983,0.182,10
0,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,1,11.14,0.09,89.8,1656788393,1656788513,0.117,0.034,2091.0,0.0,20
1,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,2,11.66,0.04,171.56,1656788523,1656788643,0.125,0.023,2092.983,0.181,20
2,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,4,11.58,0.03,345.44,1656788653,1656788773,0.147,0.022,2094.967,0.362,20
3,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,8,10.86,0.04,736.81,1656788783,1656788903,0.168,0.019,2118.769,2.535,20
4,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,16,10.77,0.03,1485.33,1656788913,1656789033,0.201,0.022,2110.835,1.811,20
5,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,10.89,0.03,2938.62,1656789043,1656789163,0.262,0.028,2142.57,4.708,20
6,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,64,13.18,0.02,4857.09,1656789173,1656789293,0.341,0.034,2210.008,10.864,20
7,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,128,25.27,0.02,5064.37,1656789303,1656789423,0.415,0.035,2305.215,19.555,20
8,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,256,50.75,0.02,5044.37,1656789433,1656789553,0.465,0.034,2524.983,0.182,20
0,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,1,11.43,0.04,87.46,1656787188,1656787308,0.069,0.02,2326.0,0.0,40
1,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,2,11.78,0.08,169.81,1656787318,1656787438,0.091,0.015,2327.983,0.181,40
2,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,4,11.03,0.03,362.73,1656787448,1656787568,0.114,0.016,2329.967,0.362,40
3,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,8,11.06,0.06,723.28,1656787578,1656787698,0.13,0.012,2353.769,2.535,40
4,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,16,10.75,0.03,1488.01,1656787708,1656787828,0.147,0.014,2345.835,1.811,40
5,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,10.85,0.03,2949.71,1656787838,1656787958,0.171,0.012,2377.57,4.708,40
6,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,64,10.84,0.04,5906.51,1656787968,1656788088,0.21,0.016,2445.008,10.864,40
7,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,128,12.07,0.03,10608.26,1656788098,1656788218,0.286,0.027,2540.215,19.555,40
8,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,256,23.79,0.01,10759.63,1656788228,1656788348,0.344,0.029,2759.983,0.182,40
