Unnamed: 0,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,instance_memory
5,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,53.23,0.02,601.18,1656796601,1656796721,0.669,0.059,2732.876,10.352,5
5,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,24.6,0.02,1300.78,1656795390,1656795510,0.511,0.043,2794.0,0.0,10
5,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,15.58,0.01,2053.42,1656794172,1656794292,0.396,0.037,2857.0,0.0,20
5,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,10.85,0.04,2948.99,1656792866,1656792986,0.256,0.022,3091.074,10.14,40
5,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,22.55,0.01,1418.8,1656791554,1656791674,0.412,0.039,2019.57,4.708,5
5,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,11.07,0.02,2891.08,1656790248,1656790368,0.343,0.039,2079.57,4.708,10
5,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,10.89,0.03,2938.62,1656789043,1656789163,0.262,0.028,2142.57,4.708,20
5,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,10.85,0.03,2949.71,1656787838,1656787958,0.171,0.012,2377.57,4.708,40
5,distiluse-base-multilingual-cased-v2,134734080,64,32,26.51,0.01,1207.19,1656786530,1656786650,0.586,0.043,2217.917,17.501,5
5,distiluse-base-multilingual-cased-v2,134734080,64,32,12.24,0.01,2614.89,1656785223,1656785343,0.507,0.049,2278.314,16.422,10
5,distiluse-base-multilingual-cased-v2,134734080,64,32,7.83,0.01,4085.56,1656784017,1656784137,0.395,0.036,2341.512,16.296,20
5,distiluse-base-multilingual-cased-v2,134734080,64,32,5.44,0.03,5887.53,1656782712,1656782832,0.291,0.028,2576.512,16.296,40
5,distiluse-base-multilingual-cased-v1,134734080,64,32,26.53,0.01,1206.13,1656781503,1656781623,0.663,0.059,2147.107,9.778,5
5,distiluse-base-multilingual-cased-v1,134734080,64,32,12.24,0.01,2614.44,1656780296,1656780416,0.443,0.037,2207.107,9.778,10
5,distiluse-base-multilingual-cased-v1,134734080,64,32,7.84,0.02,4081.39,1656778978,1656779098,0.433,0.039,2270.107,9.778,20
5,distiluse-base-multilingual-cased-v1,134734080,64,32,5.43,0.03,5887.91,1656777758,1656777878,0.256,0.022,2505.107,9.778,40
5,bert-base-multilingual-cased,177853440,64,32,52.95,0.02,604.29,1656801546,1656801666,0.666,0.059,2350.876,10.352,5
5,bert-base-multilingual-cased,177853440,64,32,24.45,0.01,1309.02,1656800336,1656800456,0.517,0.049,2411.074,10.14,10
5,bert-base-multilingual-cased,177853440,64,32,15.46,0.03,2069.32,1656799124,1656799244,0.398,0.039,2474.074,10.14,20
5,bert-base-multilingual-cased,177853440,64,32,10.76,0.09,2975.24,1656797817,1656797937,0.291,0.029,2709.074,10.14,40
