,model_name,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,mig_profile
0,vision_transformer,1,5.38,0.1,185.7,1661684399,1661684520,7g.80gb
0,vision_transformer,2,7.3,0.02,273.96,1661684530,1661684651,7g.80gb
0,vision_transformer,4,12.02,0.06,332.87,1661684661,1661684782,7g.80gb
0,vision_transformer,8,21.51,0.05,371.97,1661684793,1661684914,7g.80gb
0,vision_transformer,16,42.06,0.06,380.44,1661684925,1661685046,7g.80gb
0,vision_transformer,32,80.56,0.03,397.23,1661685058,1661685179,7g.80gb
0,vision_transformer,64,157.88,0.04,405.38,1661685193,1661685314,7g.80gb
0,vision_transformer,128,307.66,0.03,416.04,1661685332,1661685453,7g.80gb
0,vision_transformer,256,606.27,0.11,422.25,1661685478,1661685599,7g.80gb
0,vision_transformer,1,8.06,0.07,124.1,1661685620,1661685741,3g.40gb
0,vision_transformer,2,13.83,0.03,144.6,1661685751,1661685872,3g.40gb
0,vision_transformer,4,24.7,0.02,161.92,1661685883,1661686004,3g.40gb
0,vision_transformer,8,48.38,0.03,165.35,1661686015,1661686136,3g.40gb
0,vision_transformer,16,92.5,0.05,172.98,1661686148,1661686269,3g.40gb
0,vision_transformer,32,182.78,0.08,175.08,1661686283,1661686404,3g.40gb
0,vision_transformer,64,358.07,0.16,178.73,1661686422,1661686543,3g.40gb
0,vision_transformer,128,710.12,0.28,180.25,1661686569,1661686690,3g.40gb
0,vision_transformer,256,1407.83,0.22,181.84,1661686732,1661686853,3g.40gb
0,vision_transformer,1,11.2,0.06,89.27,1661686875,1661686996,2g.20gb
0,vision_transformer,2,20.24,0.01,98.8,1661687006,1661687127,2g.20gb
0,vision_transformer,4,39.08,0.02,102.35,1661687138,1661687259,2g.20gb
0,vision_transformer,8,70.72,0.05,113.12,1661687271,1661687392,2g.20gb
0,vision_transformer,16,141.32,0.07,113.22,1661687405,1661687526,2g.20gb
0,vision_transformer,32,276.05,0.09,115.92,1661687542,1661687663,2g.20gb
0,vision_transformer,64,546.48,0.07,117.11,1661687685,1661687806,2g.20gb
0,vision_transformer,128,1080.93,0.17,118.42,1661687840,1661687961,2g.20gb
0,vision_transformer,256,2161.39,0.21,118.44,1661688019,1661688199,2g.20gb
0,vision_transformer,1,21.91,0.01,45.64,1661688220,1661688341,1g.10gb
0,vision_transformer,2,38.15,0.03,52.42,1661688352,1661688473,1g.10gb
0,vision_transformer,4,75.89,0.05,52.71,1661688485,1661688606,1g.10gb
0,vision_transformer,8,140.94,0.08,56.76,1661688619,1661688740,1g.10gb
0,vision_transformer,16,277.26,0.07,57.71,1661688756,1661688877,1g.10gb
0,vision_transformer,32,545.51,0.14,58.66,1661688899,1661689020,1g.10gb
0,vision_transformer,64,1081.01,0.31,59.2,1661689053,1661689174,1g.10gb
0,vision_transformer,128,2170.16,0.54,58.98,1661689231,1661689410,1g.10gb
0,vision_transformer,256,4280.82,0.95,59.8,1661689512,1661689865,1g.10gb
0,resnet50,1,5.21,0.13,191.81,1661689886,1661690007,7g.80gb
0,resnet50,2,5.44,0.18,367.44,1661690017,1661690138,7g.80gb
0,resnet50,4,5.7,0.25,701.88,1661690148,1661690269,7g.80gb
0,resnet50,8,6.1,0.22,1310.48,1661690279,1661690400,7g.80gb
0,resnet50,16,7.72,0.12,2072.73,1661690410,1661690531,7g.80gb
0,resnet50,32,12.56,0.03,2547.57,1661690541,1661690662,7g.80gb
0,resnet50,64,23.07,0.05,2774.7,1661690673,1661690794,7g.80gb
0,resnet50,128,42.99,0.05,2977.21,1661690806,1661690927,7g.80gb
