,Unnamed: 0,model_name,batch_size,seq_length,latency,latency_std,throughput,start_timestamp,end_timestamp,mig_profile,gract_mean,gract_std,fb_used_mean,fb_used_std
0,0,bert-base,32,32,14.26,0.08,210.43,1661748407,1661748528,7g.80gb,0.844,0.079,1917.885,23.262
1,0,bert-base,32,64,26.34,0.02,113.89,1661747520,1661747641,7g.80gb,0.9,0.091,1963.033,10.639
2,0,bert-base,32,128,49.82,1.74,60.21,1661748552,1661748673,7g.80gb,0.932,0.096,2080.0,0.0
3,0,bert-base,32,256,77.05,19.84,38.94,1661748894,1661749015,7g.80gb,0.958,0.005,2470.0,0.0
4,0,bert-base,32,512,82.4,33.29,36.41,1661749038,1661749159,7g.80gb,0.96,0.005,3639.115,118.942
5,0,bert-base,32,32,31.9,0.07,94.05,1661751085,1661751206,3g.40gb,0.918,0.076,1690.0,0.0
6,0,bert-base,32,64,60.62,0.11,49.49,1661750266,1661750387,3g.40gb,0.956,0.031,1734.0,0.0
7,0,bert-base,32,128,117.87,6.06,25.45,1661751332,1661751453,3g.40gb,0.976,0.007,1850.0,0.0
8,0,bert-base,32,256,173.04,45.25,17.34,1661751477,1661751598,3g.40gb,0.98,0.003,2240.0,0.0
9,0,bert-base,32,512,182.32,67.98,16.45,1661751621,1661751742,3g.40gb,0.979,0.013,3390.23,166.076
10,0,bert-base,32,32,45.9,0.04,65.35,1661753366,1661753487,2g.20gb,0.94,0.077,1625.639,3.967
11,0,bert-base,32,64,87.77,0.02,34.18,1661752671,1661752792,2g.20gb,0.962,0.088,1669.344,7.213
12,0,bert-base,32,128,174.02,6.61,17.24,1661753620,1661753741,2g.20gb,0.983,0.003,1786.0,0.0
13,0,bert-base,32,256,261.44,68.2,11.47,1661753775,1661753896,2g.20gb,0.987,0.004,2176.0,0.0
14,0,bert-base,32,512,277.27,100.82,10.82,1661754021,1661754142,2g.20gb,0.987,0.005,3307.344,200.753
15,0,bert-base,32,32,90.6,0.06,33.11,1661755812,1661755933,1g.10gb,0.973,0.008,1563.639,3.967
16,0,bert-base,32,64,174.25,0.05,17.22,1661754980,1661755101,1g.10gb,0.986,0.002,1608.0,0.0
17,0,bert-base,32,128,343.89,14.06,8.72,1661755960,1661756081,1g.10gb,0.991,0.002,1724.0,0.0
18,0,bert-base,32,256,519.58,133.5,5.77,1661756209,1661756330,1g.10gb,0.993,0.003,2114.0,0.0
19,0,bert-base,32,512,555.11,203.26,5.4,1661756481,1661756602,1g.10gb,0.993,0.005,3201.279,259.247
