,model_name,batch_size,seq_length,latency,latency_std,throughput,start_timestamp,end_timestamp,mig_profile
0,bert-base,1,64,6.31,0.14,475.07,1661746519,1661746640,7g.80gb
0,bert-base,2,64,6.83,0.18,439.19,1661746660,1661746781,7g.80gb
0,bert-base,4,64,6.94,0.2,432.19,1661746900,1661747021,7g.80gb
0,bert-base,8,64,8.32,0.19,360.37,1661747140,1661747261,7g.80gb
0,bert-base,16,64,13.93,0.06,215.34,1661747380,1661747501,7g.80gb
0,bert-base,32,64,26.34,0.02,113.89,1661747520,1661747641,7g.80gb
0,bert-base,64,64,50.11,0.05,59.86,1661747671,1661747792,7g.80gb
0,bert-base,128,64,99.44,0.07,30.17,1661747912,1661748033,7g.80gb
0,bert-base,256,64,198.6,0.2,15.11,1661748164,1661748285,7g.80gb
0,bert-base,32,32,14.26,0.08,210.43,1661748407,1661748528,7g.80gb
0,bert-base,32,128,49.82,1.74,60.21,1661748552,1661748673,7g.80gb
0,bert-base,32,256,77.05,19.84,38.94,1661748894,1661749015,7g.80gb
0,bert-base,32,512,82.4,33.29,36.41,1661749038,1661749159,7g.80gb
0,bert-base,1,64,6.29,0.14,476.79,1661749190,1661749311,3g.40gb
0,bert-base,2,64,6.75,0.17,444.16,1661749341,1661749462,3g.40gb
0,bert-base,4,64,9.43,0.69,318.24,1661749536,1661749657,3g.40gb
0,bert-base,8,64,17.03,0.63,176.19,1661749782,1661749903,3g.40gb
0,bert-base,16,64,31.16,0.19,96.29,1661750121,1661750242,3g.40gb
0,bert-base,32,64,60.62,0.11,49.49,1661750266,1661750387,3g.40gb
0,bert-base,64,64,119.82,0.1,25.04,1661750440,1661750561,3g.40gb
0,bert-base,128,64,230.43,0.1,13.02,1661750693,1661750814,3g.40gb
0,bert-base,256,64,451.08,0.23,6.65,1661750942,1661751063,3g.40gb
0,bert-base,32,32,31.9,0.07,94.05,1661751085,1661751206,3g.40gb
0,bert-base,32,128,117.87,6.06,25.45,1661751332,1661751453,3g.40gb
0,bert-base,32,256,173.04,45.25,17.34,1661751477,1661751598,3g.40gb
0,bert-base,32,512,182.32,67.98,16.45,1661751621,1661751742,3g.40gb
0,bert-base,1,64,6.43,0.23,466.21,1661751872,1661751993,2g.20gb
0,bert-base,2,64,7.6,0.56,394.58,1661752012,1661752133,2g.20gb
0,bert-base,4,64,12.88,1.16,232.98,1661752151,1661752272,2g.20gb
0,bert-base,8,64,23.67,0.87,126.75,1661752390,1661752511,2g.20gb
0,bert-base,16,64,44.92,0.28,66.79,1661752531,1661752652,2g.20gb
0,bert-base,32,64,87.77,0.02,34.18,1661752671,1661752792,2g.20gb
0,bert-base,64,64,175.77,0.09,17.07,1661752821,1661752942,2g.20gb
0,bert-base,128,64,348.22,0.1,8.62,1661752969,1661753090,2g.20gb
0,bert-base,256,64,690.53,0.19,4.34,1661753124,1661753245,2g.20gb
0,bert-base,32,32,45.9,0.04,65.35,1661753366,1661753487,2g.20gb
0,bert-base,32,128,174.02,6.61,17.24,1661753620,1661753741,2g.20gb
0,bert-base,32,256,261.44,68.2,11.47,1661753775,1661753896,2g.20gb
0,bert-base,32,512,277.27,100.82,10.82,1661754021,1661754142,2g.20gb
0,bert-base,1,64,7.53,0.64,398.55,1661754173,1661754294,1g.10gb
0,bert-base,2,64,12.41,1.92,241.81,1661754313,1661754434,1g.10gb
0,bert-base,4,64,24.21,2.62,123.92,1661754453,1661754574,1g.10gb
0,bert-base,8,64,44.45,1.67,67.5,1661754595,1661754716,1g.10gb
0,bert-base,16,64,88.68,0.5,33.83,1661754737,1661754858,1g.10gb
0,bert-base,32,64,174.25,0.05,17.22,1661754980,1661755101,1g.10gb
0,bert-base,64,64,348.01,0.14,8.62,1661755128,1661755249,1g.10gb
0,bert-base,128,64,690.01,0.38,4.35,1661755295,1661755416,1g.10gb
0,bert-base,256,64,1368.32,0.3,2.19,1661755566,1661755688,1g.10gb
0,bert-base,32,32,90.6,0.06,33.11,1661755812,1661755933,1g.10gb
0,bert-base,32,128,343.89,14.06,8.72,1661755960,1661756081,1g.10gb
0,bert-base,32,256,519.58,133.5,5.77,1661756209,1661756330,1g.10gb
0,bert-base,32,512,555.11,203.26,5.4,1661756481,1661756602,1g.10gb
