Unnamed: 0,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,instance_memory
0,distiluse-base-multilingual-cased-v2,134734080,64,1,5.56,0.07,179.86,1656785880,1656786000,0.19,0.057,2043.537,4.719,5
1,distiluse-base-multilingual-cased-v2,134734080,64,2,5.48,0.06,364.78,1656786010,1656786130,0.259,0.047,2047.934,0.724,5
2,distiluse-base-multilingual-cased-v2,134734080,64,4,5.78,0.03,692.35,1656786140,1656786260,0.36,0.053,2077.686,3.44,5
3,distiluse-base-multilingual-cased-v2,134734080,64,8,7.35,0.02,1087.96,1656786270,1656786390,0.449,0.046,2079.669,3.621,5
4,distiluse-base-multilingual-cased-v2,134734080,64,16,13.41,0.01,1193.02,1656786400,1656786520,0.527,0.054,2127.074,8.24,5
5,distiluse-base-multilingual-cased-v2,134734080,64,32,26.51,0.01,1207.19,1656786530,1656786650,0.586,0.043,2217.917,17.501,5
6,distiluse-base-multilingual-cased-v2,134734080,64,64,50.85,0.02,1258.68,1656786660,1656786780,0.622,0.044,2372.43,31.566,5
7,distiluse-base-multilingual-cased-v2,134734080,64,128,100.57,0.02,1272.71,1656786791,1656786911,0.663,0.033,2704.86,63.133,5
8,distiluse-base-multilingual-cased-v2,134734080,64,256,199.59,0.04,1282.61,1656786923,1656787043,0.682,0.031,3377.6,42.453,5
0,distiluse-base-multilingual-cased-v2,134734080,64,1,5.69,0.07,175.82,1656784573,1656784693,0.212,0.065,2102.05,21.004,10
1,distiluse-base-multilingual-cased-v2,134734080,64,2,5.62,0.03,355.98,1656784703,1656784823,0.221,0.041,2107.934,0.724,10
2,distiluse-base-multilingual-cased-v2,134734080,64,4,5.72,0.03,698.78,1656784833,1656784953,0.264,0.041,2137.686,3.44,10
3,distiluse-base-multilingual-cased-v2,134734080,64,8,5.68,0.03,1408.59,1656784963,1656785083,0.329,0.039,2139.669,3.621,10
4,distiluse-base-multilingual-cased-v2,134734080,64,16,6.41,0.04,2494.29,1656785093,1656785213,0.423,0.048,2187.273,7.967,10
5,distiluse-base-multilingual-cased-v2,134734080,64,32,12.24,0.01,2614.89,1656785223,1656785343,0.507,0.049,2278.314,16.422,10
6,distiluse-base-multilingual-cased-v2,134734080,64,64,24.91,0.01,2569.48,1656785353,1656785473,0.556,0.05,2432.43,31.566,10
7,distiluse-base-multilingual-cased-v2,134734080,64,128,48.04,0.01,2664.27,1656785483,1656785603,0.607,0.043,2764.86,63.133,10
8,distiluse-base-multilingual-cased-v2,134734080,64,256,94.92,0.03,2696.9,1656785614,1656785734,0.633,0.037,3440.8,34.908,10
0,distiluse-base-multilingual-cased-v2,134734080,64,1,5.57,0.03,179.6,1656783367,1656783487,0.095,0.029,2165.942,11.229,20
1,distiluse-base-multilingual-cased-v2,134734080,64,2,5.51,0.06,362.97,1656783497,1656783617,0.129,0.022,2170.934,0.724,20
2,distiluse-base-multilingual-cased-v2,134734080,64,4,5.8,0.03,689.24,1656783627,1656783747,0.182,0.028,2200.686,3.44,20
3,distiluse-base-multilingual-cased-v2,134734080,64,8,5.43,0.02,1474.65,1656783757,1656783877,0.235,0.025,2202.669,3.621,20
4,distiluse-base-multilingual-cased-v2,134734080,64,16,5.56,0.02,2878.28,1656783887,1656784007,0.313,0.035,2250.273,7.967,20
5,distiluse-base-multilingual-cased-v2,134734080,64,32,7.83,0.01,4085.56,1656784017,1656784137,0.395,0.036,2341.512,16.296,20
6,distiluse-base-multilingual-cased-v2,134734080,64,64,14.48,0.01,4418.38,1656784147,1656784267,0.457,0.039,2495.826,30.692,20
7,distiluse-base-multilingual-cased-v2,134734080,64,128,29.35,0.01,4360.66,1656784277,1656784397,0.514,0.037,2827.86,63.133,20
8,distiluse-base-multilingual-cased-v2,134734080,64,256,57.05,0.01,4487.07,1656784407,1656784527,0.547,0.035,3503.8,34.908,20
0,distiluse-base-multilingual-cased-v2,134734080,64,1,5.56,0.09,179.95,1656782062,1656782182,0.146,0.045,2401.967,0.362,40
1,distiluse-base-multilingual-cased-v2,134734080,64,2,5.72,0.03,349.59,1656782192,1656782312,0.155,0.028,2405.934,0.724,40
2,distiluse-base-multilingual-cased-v2,134734080,64,4,5.74,0.03,697.4,1656782322,1656782442,0.178,0.027,2435.686,3.44,40
3,distiluse-base-multilingual-cased-v2,134734080,64,8,5.43,0.03,1472.63,1656782452,1656782572,0.196,0.021,2437.669,3.621,40
4,distiluse-base-multilingual-cased-v2,134734080,64,16,5.46,0.02,2930.59,1656782582,1656782702,0.233,0.025,2497.174,9.053,40
5,distiluse-base-multilingual-cased-v2,134734080,64,32,5.44,0.03,5887.53,1656782712,1656782832,0.291,0.028,2576.512,16.296,40
6,distiluse-base-multilingual-cased-v2,134734080,64,64,6.74,0.01,9495.08,1656782842,1656782962,0.363,0.034,2731.223,30.419,40
7,distiluse-base-multilingual-cased-v2,134734080,64,128,13.36,0.0,9581.6,1656782972,1656783092,0.434,0.034,3064.446,60.838,40
8,distiluse-base-multilingual-cased-v2,134734080,64,256,26.5,0.03,9662.2,1656783102,1656783222,0.481,0.033,3738.8,34.908,40
