Unnamed: 0,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,instance_memory
0,paraphrase-multilingual-mpnet-base-v2,278043648,64,1,11.0,0.08,90.88,1656795951,1656796071,0.335,0.104,2623.983,0.181,5
1,paraphrase-multilingual-mpnet-base-v2,278043648,64,2,10.99,0.04,182.0,1656796081,1656796201,0.363,0.066,2625.967,0.362,5
2,paraphrase-multilingual-mpnet-base-v2,278043648,64,4,11.6,0.04,344.78,1656796211,1656796331,0.449,0.067,2631.917,0.905,5
3,paraphrase-multilingual-mpnet-base-v2,278043648,64,8,14.48,0.02,552.33,1656796341,1656796461,0.545,0.063,2622.0,0.0,5
4,paraphrase-multilingual-mpnet-base-v2,278043648,64,16,27.03,0.03,591.92,1656796471,1656796591,0.611,0.066,2665.636,3.983,5
5,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,53.23,0.02,601.18,1656796601,1656796721,0.669,0.059,2732.876,10.352,5
6,paraphrase-multilingual-mpnet-base-v2,278043648,64,64,101.95,0.02,627.77,1656796732,1656796852,0.691,0.056,2802.0,0.0,5
7,paraphrase-multilingual-mpnet-base-v2,278043648,64,128,201.62,0.03,634.87,1656796865,1656796985,0.732,0.046,3007.967,0.255,5
8,paraphrase-multilingual-mpnet-base-v2,278043648,64,256,400.24,0.06,639.61,1656797001,1656797121,0.747,0.042,3392.0,0.0,5
0,paraphrase-multilingual-mpnet-base-v2,278043648,64,1,10.99,0.08,91.0,1656794740,1656794860,0.21,0.07,2683.983,0.181,10
1,paraphrase-multilingual-mpnet-base-v2,278043648,64,2,10.92,0.05,183.19,1656794870,1656794990,0.218,0.038,2685.967,0.362,10
2,paraphrase-multilingual-mpnet-base-v2,278043648,64,4,11.24,0.04,355.73,1656795000,1656795120,0.269,0.041,2691.917,0.905,10
3,paraphrase-multilingual-mpnet-base-v2,278043648,64,8,10.81,0.03,740.03,1656795130,1656795250,0.334,0.034,2682.0,0.0,10
4,paraphrase-multilingual-mpnet-base-v2,278043648,64,16,12.59,0.02,1270.87,1656795260,1656795380,0.434,0.046,2725.636,3.983,10
5,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,24.6,0.02,1300.78,1656795390,1656795510,0.511,0.043,2794.0,0.0,10
6,paraphrase-multilingual-mpnet-base-v2,278043648,64,64,50.01,0.01,1279.74,1656795520,1656795640,0.562,0.047,2860.512,16.296,10
7,paraphrase-multilingual-mpnet-base-v2,278043648,64,128,96.3,0.04,1329.14,1656795651,1656795771,0.612,0.04,3067.967,0.255,10
8,paraphrase-multilingual-mpnet-base-v2,278043648,64,256,190.38,0.09,1344.7,1656795784,1656795904,0.641,0.039,3452.0,0.0,10
0,paraphrase-multilingual-mpnet-base-v2,278043648,64,1,11.27,0.13,88.71,1656793522,1656793642,0.094,0.029,2746.983,0.181,20
1,paraphrase-multilingual-mpnet-base-v2,278043648,64,2,11.18,0.1,178.85,1656793652,1656793772,0.128,0.022,2748.967,0.362,20
2,paraphrase-multilingual-mpnet-base-v2,278043648,64,4,11.93,0.03,335.31,1656793782,1656793902,0.18,0.027,2754.917,0.905,20
3,paraphrase-multilingual-mpnet-base-v2,278043648,64,8,10.95,0.04,730.77,1656793912,1656794032,0.233,0.025,2745.0,0.0,20
4,paraphrase-multilingual-mpnet-base-v2,278043648,64,16,11.05,0.04,1448.33,1656794042,1656794162,0.314,0.035,2788.636,3.983,20
5,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,15.58,0.01,2053.42,1656794172,1656794292,0.396,0.037,2857.0,0.0,20
6,paraphrase-multilingual-mpnet-base-v2,278043648,64,64,29.18,0.01,2193.43,1656794302,1656794422,0.457,0.041,2923.512,16.296,20
7,paraphrase-multilingual-mpnet-base-v2,278043648,64,128,58.93,0.01,2172.06,1656794433,1656794553,0.515,0.037,3130.983,0.181,20
8,paraphrase-multilingual-mpnet-base-v2,278043648,64,256,114.46,0.02,2236.67,1656794564,1656794684,0.549,0.038,3515.0,0.0,20
0,paraphrase-multilingual-mpnet-base-v2,278043648,64,1,11.25,0.08,88.86,1656792216,1656792336,0.082,0.025,2981.983,0.181,40
1,paraphrase-multilingual-mpnet-base-v2,278043648,64,2,11.66,0.09,171.52,1656792346,1656792466,0.11,0.02,2983.967,0.362,40
2,paraphrase-multilingual-mpnet-base-v2,278043648,64,4,11.64,0.14,343.66,1656792476,1656792596,0.141,0.021,2989.917,0.905,40
3,paraphrase-multilingual-mpnet-base-v2,278043648,64,8,10.9,0.04,733.99,1656792606,1656792726,0.161,0.016,2980.0,0.0,40
4,paraphrase-multilingual-mpnet-base-v2,278043648,64,16,11.05,0.04,1448.46,1656792736,1656792856,0.202,0.021,3023.636,3.983,40
5,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,10.85,0.04,2948.99,1656792866,1656792986,0.256,0.022,3091.074,10.14,40
6,paraphrase-multilingual-mpnet-base-v2,278043648,64,64,13.33,0.02,4799.75,1656792996,1656793116,0.33,0.03,3158.512,16.296,40
7,paraphrase-multilingual-mpnet-base-v2,278043648,64,128,26.93,0.01,4752.21,1656793126,1656793246,0.397,0.031,3362.793,34.945,40
8,paraphrase-multilingual-mpnet-base-v2,278043648,64,256,53.17,0.11,4815.2,1656793256,1656793376,0.445,0.033,3750.0,0.0,40
