Unnamed: 0,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,instance_memory
0,paraphrase-multilingual-MiniLM-L12-v2,117653760,32,32,10.86,0.05,2946.62,1656769676,1656769796,0.768,0.235,1987.835,1.811,5
1,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,22.57,0.01,1418.11,1656769806,1656769926,0.778,0.144,2019.57,4.708,5
2,paraphrase-multilingual-MiniLM-L12-v2,117653760,128,32,52.78,0.02,606.25,1656769936,1656770056,0.845,0.131,2075.107,9.778,5
3,paraphrase-multilingual-MiniLM-L12-v2,117653760,256,32,129.31,0.03,247.47,1656770068,1656770188,0.853,0.092,2253.62,26.073,5
4,paraphrase-multilingual-MiniLM-L12-v2,117653760,512,32,375.51,0.05,85.22,1656770204,1656770324,0.878,0.093,2928.0,0.0,5
0,paraphrase-multilingual-MiniLM-L12-v2,117653760,32,32,10.74,0.05,2978.49,1656768985,1656769105,0.383,0.131,2047.835,1.811,10
1,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,11.07,0.02,2890.26,1656769115,1656769235,0.545,0.091,2079.57,4.708,10
2,paraphrase-multilingual-MiniLM-L12-v2,117653760,128,32,26.2,0.02,1221.49,1656769245,1656769365,0.675,0.094,2135.107,9.778,10
3,paraphrase-multilingual-MiniLM-L12-v2,117653760,256,32,65.84,0.02,486.0,1656769376,1656769496,0.721,0.074,2313.62,26.073,10
4,paraphrase-multilingual-MiniLM-L12-v2,117653760,512,32,185.79,0.03,172.24,1656769509,1656769629,0.768,0.074,2988.0,0.0,10
0,paraphrase-multilingual-MiniLM-L12-v2,117653760,32,32,10.92,0.07,2929.12,1656768284,1656768404,0.176,0.055,2110.322,5.883,20
1,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,10.96,0.11,2920.3,1656768414,1656768534,0.29,0.049,2142.57,4.708,20
2,paraphrase-multilingual-MiniLM-L12-v2,117653760,128,32,15.6,0.01,2050.79,1656768544,1656768664,0.451,0.068,2198.107,9.778,20
3,paraphrase-multilingual-MiniLM-L12-v2,117653760,256,32,36.21,0.01,883.78,1656768674,1656768794,0.536,0.057,2376.521,26.087,20
4,paraphrase-multilingual-MiniLM-L12-v2,117653760,512,32,101.03,0.02,316.75,1656768805,1656768925,0.606,0.063,3050.8,2.182,20
0,paraphrase-multilingual-MiniLM-L12-v2,117653760,32,32,10.88,0.1,2941.0,1656767498,1656767618,0.112,0.035,2345.339,5.711,40
1,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,10.88,0.04,2941.89,1656767628,1656767748,0.171,0.029,2377.57,4.708,40
2,paraphrase-multilingual-MiniLM-L12-v2,117653760,128,32,10.77,0.1,2970.05,1656767758,1656767878,0.291,0.048,2433.107,9.778,40
3,paraphrase-multilingual-MiniLM-L12-v2,117653760,256,32,17.62,0.01,1815.79,1656767888,1656768008,0.403,0.048,2611.62,26.073,40
4,paraphrase-multilingual-MiniLM-L12-v2,117653760,512,32,49.15,0.02,651.05,1656768018,1656768138,0.492,0.054,3285.8,2.182,40
