Unnamed: 0,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,instance_memory
0,distiluse-base-multilingual-cased-v2,134734080,32,32,13.3,0.01,2406.81,1656766704,1656766824,0.454,0.143,2129.322,22.53,5
1,distiluse-base-multilingual-cased-v2,134734080,64,32,26.5,0.01,1207.61,1656766834,1656766954,0.577,0.105,2217.917,17.501,5
2,distiluse-base-multilingual-cased-v2,134734080,128,32,53.97,0.02,592.91,1656766964,1656767084,0.691,0.106,2348.628,29.484,5
3,distiluse-base-multilingual-cased-v2,134734080,256,32,116.75,0.03,274.08,1656767095,1656767215,0.722,0.071,2657.455,58.381,5
4,distiluse-base-multilingual-cased-v2,134734080,512,32,274.93,0.05,116.39,1656767228,1656767348,0.766,0.08,3702.942,155.735,5
0,distiluse-base-multilingual-cased-v2,134734080,32,32,6.41,0.03,4991.85,1656765914,1656766034,0.437,0.129,2191.24,8.329,10
1,distiluse-base-multilingual-cased-v2,134734080,64,32,12.24,0.01,2615.35,1656766044,1656766164,0.563,0.098,2278.512,16.296,10
2,distiluse-base-multilingual-cased-v2,134734080,128,32,26.48,0.01,1208.39,1656766174,1656766294,0.68,0.101,2409.421,28.246,10
3,distiluse-base-multilingual-cased-v2,134734080,256,32,56.31,0.02,568.28,1656766304,1656766424,0.713,0.07,2718.248,56.813,10
4,distiluse-base-multilingual-cased-v2,134734080,512,32,132.95,0.04,240.69,1656766435,1656766555,0.752,0.078,3776.8,34.908,10
0,distiluse-base-multilingual-cased-v2,134734080,32,32,5.64,0.03,5669.27,1656765125,1656765245,0.599,0.201,2254.802,2.173,20
1,distiluse-base-multilingual-cased-v2,134734080,64,32,7.85,0.01,4076.33,1656765255,1656765375,0.664,0.11,2341.512,16.296,20
2,distiluse-base-multilingual-cased-v2,134734080,128,32,15.53,0.02,2060.13,1656765385,1656765505,0.767,0.114,2472.421,28.246,20
3,distiluse-base-multilingual-cased-v2,134734080,256,32,33.62,0.01,951.68,1656765515,1656765635,0.788,0.075,2781.843,56.492,20
4,distiluse-base-multilingual-cased-v2,134734080,512,32,76.51,0.01,418.27,1656765646,1656765766,0.817,0.083,3839.826,34.765,20
0,distiluse-base-multilingual-cased-v2,134734080,32,32,5.71,0.04,5606.98,1656764426,1656764546,0.185,0.061,2487.983,16.026,40
1,distiluse-base-multilingual-cased-v2,134734080,64,32,5.61,0.09,5703.87,1656764556,1656764676,0.294,0.054,2575.917,17.501,40
2,distiluse-base-multilingual-cased-v2,134734080,128,32,7.2,0.02,4447.17,1656764686,1656764806,0.447,0.076,2707.025,28.543,40
3,distiluse-base-multilingual-cased-v2,134734080,256,32,15.61,0.01,2050.44,1656764816,1656764936,0.524,0.068,3015.455,58.381,40
4,distiluse-base-multilingual-cased-v2,134734080,512,32,36.17,0.01,884.68,1656764946,1656765066,0.598,0.07,4060.942,155.735,40
