Unnamed: 0,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std,instance_memory
0,distiluse-base-multilingual-cased-v1,134734080,64,1,5.57,0.08,179.51,1656780853,1656780973,0.33,0.105,2038.116,31.998,5
1,distiluse-base-multilingual-cased-v1,134734080,64,2,5.56,0.03,359.83,1656780983,1656781103,0.357,0.066,2043.967,0.362,5
2,distiluse-base-multilingual-cased-v1,134734080,64,4,5.87,0.05,681.19,1656781113,1656781233,0.44,0.067,2067.769,2.535,5
3,distiluse-base-multilingual-cased-v1,134734080,64,8,7.35,0.01,1088.56,1656781243,1656781363,0.535,0.062,2059.835,1.811,5
4,distiluse-base-multilingual-cased-v1,134734080,64,16,13.42,0.01,1192.02,1656781373,1656781493,0.602,0.066,2103.471,5.794,5
5,distiluse-base-multilingual-cased-v1,134734080,64,32,26.53,0.01,1206.13,1656781503,1656781623,0.663,0.059,2147.107,9.778,5
6,distiluse-base-multilingual-cased-v1,134734080,64,64,50.82,0.02,1259.41,1656781633,1656781753,0.685,0.056,2230.413,17.382,5
7,distiluse-base-multilingual-cased-v1,134734080,64,128,100.56,0.02,1272.89,1656781764,1656781884,0.725,0.044,2420.826,34.765,5
8,distiluse-base-multilingual-cased-v1,134734080,64,256,199.68,0.04,1282.02,1656781896,1656782016,0.737,0.035,2808.0,0.0,5
0,distiluse-base-multilingual-cased-v1,134734080,64,1,5.6,0.03,178.44,1656779646,1656779766,0.116,0.038,2101.306,7.424,10
1,distiluse-base-multilingual-cased-v1,134734080,64,2,5.54,0.05,360.85,1656779776,1656779896,0.159,0.031,2103.967,0.362,10
2,distiluse-base-multilingual-cased-v1,134734080,64,4,5.59,0.02,715.83,1656779906,1656780026,0.213,0.036,2127.769,2.535,10
3,distiluse-base-multilingual-cased-v1,134734080,64,8,5.54,0.02,1444.51,1656780036,1656780156,0.274,0.033,2119.835,1.811,10
4,distiluse-base-multilingual-cased-v1,134734080,64,16,6.4,0.01,2499.27,1656780166,1656780286,0.37,0.043,2163.471,5.794,10
5,distiluse-base-multilingual-cased-v1,134734080,64,32,12.24,0.01,2614.44,1656780296,1656780416,0.443,0.037,2207.107,9.778,10
6,distiluse-base-multilingual-cased-v1,134734080,64,64,24.9,0.01,2570.73,1656780426,1656780546,0.503,0.04,2290.413,17.382,10
7,distiluse-base-multilingual-cased-v1,134734080,64,128,48.03,0.02,2664.73,1656780556,1656780676,0.55,0.03,2480.826,34.765,10
8,distiluse-base-multilingual-cased-v1,134734080,64,256,94.92,0.04,2697.09,1656780687,1656780807,0.584,0.029,2868.0,0.0,10
0,distiluse-base-multilingual-cased-v1,134734080,64,1,5.67,0.04,176.37,1656778328,1656778448,0.154,0.053,2163.314,18.287,20
1,distiluse-base-multilingual-cased-v1,134734080,64,2,5.67,0.02,352.95,1656778458,1656778578,0.165,0.029,2166.967,0.362,20
2,distiluse-base-multilingual-cased-v1,134734080,64,4,5.96,0.07,671.32,1656778588,1656778708,0.217,0.034,2190.769,2.535,20
3,distiluse-base-multilingual-cased-v1,134734080,64,8,5.53,0.07,1446.26,1656778718,1656778838,0.268,0.028,2182.835,1.811,20
4,distiluse-base-multilingual-cased-v1,134734080,64,16,5.64,0.03,2834.55,1656778848,1656778968,0.349,0.039,2226.471,5.794,20
5,distiluse-base-multilingual-cased-v1,134734080,64,32,7.84,0.02,4081.39,1656778978,1656779098,0.433,0.039,2270.107,9.778,20
6,distiluse-base-multilingual-cased-v1,134734080,64,64,14.49,0.01,4416.39,1656779108,1656779228,0.495,0.043,2400.62,22.123,20
7,distiluse-base-multilingual-cased-v1,134734080,64,128,29.36,0.01,4360.13,1656779238,1656779358,0.553,0.04,2543.826,34.765,20
8,distiluse-base-multilingual-cased-v1,134734080,64,256,57.08,0.01,4484.99,1656779368,1656779488,0.584,0.038,2931.0,0.0,20
0,distiluse-base-multilingual-cased-v1,134734080,64,1,5.53,0.07,180.92,1656777108,1656777228,0.082,0.025,2399.983,0.181,40
1,distiluse-base-multilingual-cased-v1,134734080,64,2,5.66,0.03,353.1,1656777238,1656777358,0.112,0.02,2401.967,0.362,40
2,distiluse-base-multilingual-cased-v1,134734080,64,4,5.67,0.03,705.69,1656777368,1656777488,0.144,0.022,2425.769,2.535,40
3,distiluse-base-multilingual-cased-v1,134734080,64,8,5.35,0.03,1494.74,1656777498,1656777618,0.164,0.017,2417.835,1.811,40
4,distiluse-base-multilingual-cased-v1,134734080,64,16,5.42,0.03,2953.69,1656777628,1656777748,0.205,0.022,2461.471,5.794,40
5,distiluse-base-multilingual-cased-v1,134734080,64,32,5.43,0.03,5887.91,1656777758,1656777878,0.256,0.022,2505.107,9.778,40
6,distiluse-base-multilingual-cased-v1,134734080,64,64,6.74,0.02,9496.39,1656777888,1656778008,0.33,0.029,2588.413,17.382,40
7,distiluse-base-multilingual-cased-v1,134734080,64,128,13.35,0.0,9585.6,1656778018,1656778138,0.396,0.03,2778.826,34.765,40
8,distiluse-base-multilingual-cased-v1,134734080,64,256,26.5,0.03,9661.6,1656778148,1656778268,0.446,0.031,3166.0,0.0,40
