,model_name,batch_size,seq_length,latency,latency_std,throughput,start_timestamp,end_timestamp,mig_profile
0,bert-base,32,32,14.26,0.08,210.43,1661748407,1661748528,7g.80gb
0,bert-base,32,64,26.34,0.02,113.89,1661747520,1661747641,7g.80gb
0,bert-base,32,128,49.82,1.74,60.21,1661748552,1661748673,7g.80gb
0,bert-base,32,256,77.05,19.84,38.94,1661748894,1661749015,7g.80gb
0,bert-base,32,512,82.4,33.29,36.41,1661749038,1661749159,7g.80gb
0,bert-base,32,32,31.9,0.07,94.05,1661751085,1661751206,3g.40gb
0,bert-base,32,64,60.62,0.11,49.49,1661750266,1661750387,3g.40gb
0,bert-base,32,128,117.87,6.06,25.45,1661751332,1661751453,3g.40gb
0,bert-base,32,256,173.04,45.25,17.34,1661751477,1661751598,3g.40gb
0,bert-base,32,512,182.32,67.98,16.45,1661751621,1661751742,3g.40gb
0,bert-base,32,32,45.9,0.04,65.35,1661753366,1661753487,2g.20gb
0,bert-base,32,64,87.77,0.02,34.18,1661752671,1661752792,2g.20gb
0,bert-base,32,128,174.02,6.61,17.24,1661753620,1661753741,2g.20gb
0,bert-base,32,256,261.44,68.2,11.47,1661753775,1661753896,2g.20gb
0,bert-base,32,512,277.27,100.82,10.82,1661754021,1661754142,2g.20gb
0,bert-base,32,32,90.6,0.06,33.11,1661755812,1661755933,1g.10gb
0,bert-base,32,64,174.25,0.05,17.22,1661754980,1661755101,1g.10gb
0,bert-base,32,128,343.89,14.06,8.72,1661755960,1661756081,1g.10gb
0,bert-base,32,256,519.58,133.5,5.77,1661756209,1661756330,1g.10gb
0,bert-base,32,512,555.11,203.26,5.4,1661756481,1661756602,1g.10gb
